time	V(vout)
Step Information: R=1M  (Run: 1/21)
4.196569674374767e-001	8.693674e-004
4.313757174374767e-001	8.679649e-004
4.430944674374767e-001	8.674540e-004
4.548132174374767e-001	8.713032e-004
4.626257174374767e-001	8.915796e-004
4.665319674374767e-001	9.263804e-004
4.670202486874767e-001	9.473049e-004
4.679968111874767e-001	1.069742e-003
4.682409518124767e-001	1.173371e-003
4.683019869687267e-001	1.238364e-003
4.683172457577892e-001	1.267961e-003
4.683477633359142e-001	1.417455e-003
4.684087984921642e-001	1.955836e-003
4.684107058407970e-001	1.995337e-003
4.684145205380627e-001	2.144950e-003
4.684221499325939e-001	2.559918e-003
4.684240355998034e-001	2.731196e-003
4.684278069342224e-001	3.242027e-003
4.684287497678271e-001	3.437632e-003
4.684306354350366e-001	3.983201e-003
4.684311068518390e-001	4.170513e-003
4.684320496854437e-001	4.732044e-003
4.684333611258992e-001	5.901561e-003
4.684340603273285e-001	6.922357e-003
4.684345662375787e-001	8.135296e-003
4.684349779815896e-001	9.694553e-003
4.684353002604621e-001	1.163510e-002
4.684355694096864e-001	1.425094e-002
4.684357938314158e-001	1.783739e-002
4.684359819982891e-001	2.288698e-002
4.684361418061487e-001	3.021446e-002
4.684362813791929e-001	4.128972e-002
4.684364084527602e-001	5.888486e-002
4.684365309636480e-001	8.891115e-002
4.684366649545335e-001	1.446539e-001
4.684367935569989e-001	2.299488e-001
4.684369593509120e-001	3.840739e-001
4.684371448421336e-001	5.932727e-001
4.684373715959609e-001	8.726421e-001
4.684376281942168e-001	1.197788e+000
4.684380985378177e-001	1.796149e+000
4.684390392250196e-001	2.953149e+000
4.684393484027045e-001	3.285743e+000
4.684393493263510e-001	3.286312e+000
4.684393511736441e-001	3.286762e+000
4.684393548682302e-001	3.287534e+000
4.684393585785097e-001	3.288236e+000
4.684393659990685e-001	3.289443e+000
4.684393790372057e-001	3.291160e+000
4.684393942005420e-001	3.292660e+000
4.684394149462598e-001	3.294096e+000
4.684394388983442e-001	3.295208e+000
4.684394714496152e-001	3.296181e+000
4.684395055019003e-001	3.296823e+000
4.684395563150173e-001	3.297407e+000
4.684396136306779e-001	3.297806e+000
4.684397018902854e-001	3.298160e+000
4.684398075960448e-001	3.298403e+000
4.684399774785744e-001	3.298613e+000
4.684401939356184e-001	3.298756e+000
4.684405598246305e-001	3.298876e+000
4.684410560263670e-001	3.298955e+000
4.684420450582419e-001	3.299021e+000
4.684439979646789e-001	3.299069e+000
4.684557154033007e-001	3.299114e+000
4.684713386547963e-001	3.299119e+000
4.763458945347042e-001	3.299121e+000
4.841583945347042e-001	3.299123e+000
4.958771445347042e-001	3.299125e+000
5.075958945347042e-001	3.299127e+000
5.193146445347042e-001	3.299129e+000
5.349396445347042e-001	3.299131e+000
5.505646445347042e-001	3.299133e+000
